,AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
1606,27.0,Hà Nội,pm25,1.0,22.0,52.0,5.0,6.0,1007.0,20.0,27.0,4.6,33.0,4.6,2021-07-14 09:00:00,Good,21.00577,105.74842
1607,54.0,Hà Nội,pm25,8.0,22.0,52.0,18.0,6.0,1007.0,42.0,54.0,4.6,33.0,4.6,2021-07-14 09:00:00,Moderate,21.05121,105.78232
1608,31.0,Hà Nội,pm25,5.0,24.5,64.5,11.0,6.0,1007.0,24.0,31.0,4.6,32.0,4.3,2021-07-14 09:00:00,Good,21.0072,105.83572
1609,85.0,Cao Bằng,pm10,5.0,24.5,66.5,1.0,1.0,980.4,85.0,60.0,1.0,31.5,1.0,2021-07-14 11:00:00,Moderate,22.6782,106.245
1610,46.0,Hồ Chí Minh,pm25,5.0,26.5,94.0,11.0,6.0,1008.0,45.0,46.0,4.6,27.5,3.6,2021-07-23 07:00:00,Good,10.782978,106.700711
1611,38.0,Hà Nội,aqi,5.0,26.0,100.0,11.0,6.0,999.0,45.0,38.0,4.6,26.0,2.5,2021-07-23 08:00:00,Good,21.0811211,105.8180306
1612,53.0,Hà Nội,pm25,0.1,26.0,100.0,6.4,7.4,998.5,45.0,53.0,4.6,26.0,3.3,2021-07-23 07:00:00,Moderate,21.0215063,105.8188748
1613,10.0,Gia Lai,pm25,1.0,21.5,98.8,2.0,8.0,922.0,10.0,10.0,15.0,21.7,2.0,2021-07-23 01:00:00,Good,13.998599,107.996482
1615,60.0,Hà Nội,pm25,17.0,27.0,94.0,11.0,1.0,1000.0,56.0,60.0,4.6,28.0,0.5,2021-07-22 20:00:00,Moderate,21.04975,105.74187
1617,22.0,Lào Cai,pm25,49.0,25.4,92.6,2.0,2.0,988.2,22.0,22.0,53.0,26.7,2.0,2021-07-23 01:00:00,Good,22.3221386,104.1214227
1619,11.0,Quảng Ninh,pm25,1.0,25.4,98.8,11.0,7.0,984.6,11.0,11.0,1.0,25.6,2.0,2021-07-23 07:00:00,Good,21.0357507,106.7641068
1620,25.0,Bắc Ninh,pm25,1.0,26.0,100.0,4.0,19.0,998.0,15.0,25.0,3.0,26.0,3.6,2021-07-23 07:00:00,Good,21.1232473,106.2883295
1621,34.0,Bắc Ninh,pm25,5.0,26.0,100.0,5.0,6.0,998.5,24.0,34.0,3.0,26.0,3.3,2021-07-23 08:00:00,Good,21.0272212,106.0342099
1623,50.0,Hà Nội,pm25,3.0,27.0,97.0,13.0,6.0,999.5,42.0,50.0,4.6,27.5,1.5,2021-07-22 20:00:00,Good,20.98832,105.854897
1624,41.0,Hà Nội,pm25,14.0,27.0,97.0,25.0,6.0,999.5,28.0,41.0,4.6,27.5,1.5,2021-07-22 20:00:00,Good,21.01994,105.77056
1625,73.0,Hà Nội,pm25,9.0,27.0,94.0,15.0,6.0,1000.0,48.0,73.0,4.6,28.0,0.5,2021-07-22 20:00:00,Moderate,21.01525,105.80013
1626,29.0,Đà Nẵng,pm10,7.0,21.0,55.0,11.0,10.0,1001.0,29.0,27.0,32.0,31.0,1.5,2021-07-23 07:00:00,Good,16.074,108.217
1628,102.0,Hà Nội,pm25,12.0,27.0,97.0,16.0,6.0,999.5,59.0,102.0,4.6,27.5,1.5,2021-07-22 20:00:00,Unhealthy for sensitive groups,21.02022,105.81232
1629,41.0,Hà Nội,pm25,4.0,27.0,94.0,10.0,6.0,1000.0,28.0,41.0,4.6,28.0,0.5,2021-07-22 20:00:00,Good,21.00577,105.74842
1630,91.0,Hà Nội,pm25,7.0,27.0,94.0,18.0,6.0,1000.0,58.0,91.0,4.6,28.0,0.5,2021-07-22 20:00:00,Moderate,21.05121,105.78232
1631,40.0,Hà Nội,pm25,11.0,27.0,94.0,11.0,6.0,1000.0,29.0,40.0,4.6,28.0,0.5,2021-07-22 20:00:00,Good,21.0072,105.83572
1632,48.0,Cao Bằng,pm10,5.0,25.0,96.5,1.0,1.0,972.3,48.0,43.0,1.0,25.6,1.0,2021-07-23 08:00:00,Good,22.6782,106.245
1633,21.0,Hồ Chí Minh,pm25,5.0,24.0,83.0,11.0,6.0,1009.0,45.0,21.0,4.6,27.0,5.6,2021-07-25 09:00:00,Good,10.782978,106.700711
1634,52.0,Hà Nội,aqi,5.0,27.0,84.0,11.0,6.0,1001.0,45.0,52.0,4.6,30.0,3.0,2021-07-25 09:00:00,Moderate,21.0811211,105.8180306
1635,95.0,Hà Nội,pm25,0.1,27.0,84.0,7.8,7.8,1001.0,45.0,95.0,4.6,30.0,3.0,2021-07-25 09:00:00,Moderate,21.0215063,105.8188748
1636,5.0,Gia Lai,pm25,1.0,20.4,97.6,2.0,9.0,919.5,5.0,5.0,15.0,20.8,5.0,2021-07-25 09:00:00,Good,13.998599,107.996482
1638,74.0,Hà Nội,pm25,8.0,28.0,91.5,11.0,1.0,1001.0,58.0,74.0,4.6,29.5,2.5,2021-07-25 08:00:00,Moderate,21.04975,105.74187
1642,25.0,Quảng Ninh,pm10,1.0,27.3,96.0,17.0,4.0,987.4,25.0,23.0,1.0,28.0,1.0,2021-07-25 08:00:00,Good,21.0357507,106.7641068
1643,97.0,Bắc Ninh,pm25,3.0,27.0,84.0,5.0,24.0,1001.0,59.0,97.0,3.0,30.0,3.0,2021-07-25 09:00:00,Moderate,21.1232473,106.2883295
1644,103.0,Bắc Ninh,pm25,6.0,28.0,91.5,6.0,6.0,1001.0,77.0,103.0,3.0,29.5,2.5,2021-07-25 09:00:00,Unhealthy for sensitive groups,21.0272212,106.0342099
1646,43.0,Hà Nội,pm25,2.0,28.0,91.5,7.0,6.0,1001.0,37.0,43.0,4.6,29.5,2.5,2021-07-25 08:00:00,Good,20.98832,105.854897
1647,50.0,Hà Nội,pm25,4.0,28.0,91.5,17.0,6.0,1001.0,35.0,50.0,4.6,29.5,2.5,2021-07-25 08:00:00,Good,21.01994,105.77056
1648,56.0,Hà Nội,pm10,3.0,27.0,84.0,7.0,6.0,1001.0,56.0,40.0,4.6,30.0,3.0,2021-07-25 08:00:00,Moderate,21.01525,105.80013
1649,42.0,Đà Nẵng,pm10,2.0,21.0,46.0,11.0,13.0,1001.0,42.0,16.0,36.0,34.0,7.2,2021-07-25 09:00:00,Good,16.074,108.217
1651,78.0,Hà Nội,pm25,7.0,28.0,91.5,10.0,6.0,1001.0,69.0,78.0,4.6,29.5,2.5,2021-07-25 08:00:00,Moderate,21.02022,105.81232
1652,53.0,Hà Nội,pm25,3.0,28.0,91.5,13.0,6.0,1001.0,36.0,53.0,4.6,29.5,2.5,2021-07-25 08:00:00,Moderate,21.00577,105.74842
1653,83.0,Hà Nội,pm25,4.0,28.0,91.5,11.0,6.0,1001.0,60.0,83.0,4.6,29.5,2.5,2021-07-25 08:00:00,Moderate,21.05121,105.78232
1654,69.0,Hà Nội,pm25,5.0,28.0,91.5,11.0,6.0,1001.0,44.0,69.0,4.6,29.5,2.5,2021-07-25 08:00:00,Moderate,21.0072,105.83572
1655,90.0,Cao Bằng,pm25,5.0,25.1,95.4,1.0,1.0,974.0,76.0,90.0,1.0,25.9,2.0,2021-07-25 09:00:00,Moderate,22.6782,106.245
